@relation balanceGender

@attribute time numeric
@attribute memory numeric
@attribute continent {Asia,'North America',Europe,Unknown,'South America',AsiaEurope,AsiaAfrica,Australia,Africa,'South Africa',Antarctica,Antarctic}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
46,6600,Asia,89,603,489.17264,3904.867259,66.173077,258397.0815,71,55,51,16,4,29,2,male
46,24200,AsiaAfrica,98,542,551.304169,3585.172736,72.709091,260674.6504,72,46,34,26,12,26,4,male
62,6600,Asia,82,552,439.460071,3509.368707,58.953488,206889.5272,79,68,66,11,2,31,1,male
202,53400,Asia,49,382,228.638736,2144.81916,24.111111,51713.97309,72,60,59,12,1,23,2,male
46,58700,Asia,92,669,510.185171,4364.262949,71.074074,310185.9481,75,62,57,13,5,46,3,male
61,13200,'North America',65,609,326.731624,3667.621998,93.333333,342311.3865,74,67,66,7,1,33,4,male
296,123100,Asia,77,676,407.663936,4236.347702,67.728261,286920.4623,77,64,59,13,5,29,2,male
140,27600,Europe,43,491,217.632011,2664.295995,20,53285.91989,94,56,34,38,22,34,3,male
92,40800,Europe,75,533,392.247987,3319.960362,57.692308,191536.1747,95,78,72,17,6,35,3,female
217,5800,Asia,47,491,222.544456,2727.303126,32.083333,87500.9753,105,89,89,16,0,37,5,male
140,114900,AsiaEurope,70,560,359.214781,3432.398489,71.797297,246436.9348,61,51,47,10,4,41,2,male
171,37000,'North America',68,500,346.32986,3043.731421,53.202703,161934.7379,90,72,66,18,6,27,2,male
46,36800,Asia,71,486,366.86635,2988.7771,34.756098,103878.2285,77,70,70,7,0,37,2,male
77,40800,'North America',70,483,359.421245,2960.443697,81.9375,242571.3554,101,71,53,30,18,27,3,male
155,65000,Asia,72,526,372.595692,3245.380551,61.769231,200464.6602,69,58,56,11,2,25,2,male
436,50900,Asia,64,607,320.723238,3642,32.142857,117064.2857,72,69,68,3,1,33,1,male
140,53500,AsiaAfrica,68,502,345.947473,3055.906346,51.5,157379.1768,82,72,71,10,1,36,3,male
77,37800,Asia,92,566,509.299989,3692.336067,64.230769,237161.5859,84,57,47,27,10,32,4,male
93,63300,'South America',87,612,474.542028,3943.081419,64.755102,255334.6397,87,58,41,29,17,24,2,male
61,52800,Asia,87,721,473.9428,4645.362261,71.914894,334070.7328,77,63,61,14,2,32,2,female
888,162000,Europe,35,415,164.754887,2128.652452,16,34058.43923,103,80,78,23,2,15,2,male
46,34100,Europe,77,458,405.626898,2870.188236,49.72973,142733.6852,81,62,55,19,7,31,2,male
62,37000,AsiaEurope,92,630,511.329176,4109.844032,62.678571,257599.1527,101,68,56,33,12,31,4,male
62,8700,Asia,112,780,654.162464,5309.736839,81.529412,432899.7211,63,44,39,19,5,33,5,male
