time(ms),time,memory(KB),memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
810 ms,810,19600 KB,19600,China,Asia,63,273,314.9612072,1631.797419,41.98076923,68504.11088,58,51,51,7,0,14,2,male
904 ms,904,35200 KB,35200,South Korea,Asia,52,268,251.3531335,1527.717844,46.86666667,71599.04298,52,40,35,12,5,14,2,male
670 ms,670,9500 KB,9500,Argentina,South America,68,259,346.6279634,1576.652876,36.1,56917.16882,43,29,22,14,7,7,2,male
794 ms,794,9400 KB,9400,Unknown,Unknown,68,306,346.3298602,1862.763629,38.19354839,71145.55281,52,37,30,15,7,14,2,male
732 ms,732,9400 KB,9400,China,Asia,92,376,510.1851706,2452.859295,45.74074074,112195.6011,35,28,28,7,0,15,2,male
2121 ms,2121,9500 KB,9500,Hong Kong,Asia,74,328,385.6555921,2036.700704,49.80769231,101443.362,42,38,38,4,0,12,1,male
2511 ms,2511,32800 KB,32800,Russia,AsiaEurope,66,261,333.3240179,1577.586865,35.4,55846.57503,42,36,34,6,2,13,1,male
2589 ms,2589,65700 KB,65700,Russia,AsiaEurope,66,261,333.3240179,1577.586865,35.4,55846.57503,42,36,34,6,2,13,1,male
888 ms,888,24900 KB,24900,India,Asia,64,276,321.1317371,1656,37,61272,56,44,39,12,5,12,2,male
1247 ms,1247,10600 KB,10600,China,Asia,67,291,340.7366244,1765.231954,44.57142857,78678.90997,41,32,29,9,3,15,2,male
779 ms,779,11800 KB,11800,Austria,Europe,70,301,359.2147805,1844.914188,44.28787879,81707.33594,53,41,36,12,5,15,2,male
4507 ms,4507,166600 KB,166600,Mexico,North America,34,217,172.9737366,1103.979437,0,0,32,25,25,7,0,3,1,male
810 ms,810,29400 KB,29400,India,Asia,55,272,263.6191856,1572.529842,37.45833333,58904.347,52,34,23,18,11,6,2,female
1731 ms,1731,15400 KB,15400,Brazil,South America,61,268,301.0709438,1589.437606,37.125,59007.87114,43,27,19,16,8,7,1,male
2386 ms,2386,1200 KB,1200,Romania,Europe,47,235,215.9400989,1305.32838,31.41666667,41009.06661,37,20,14,17,6,7,1,male
3400 ms,3400,1300 KB,1300,Russia,AsiaEurope,65,300,326.4650059,1806.710344,33.93939394,61318.6541,38,29,29,9,0,11,2,male
483 ms,483,15300 KB,15300,China,Asia,69,346,352.4986422,2113.549462,45.65714286,96498.62972,47,38,37,9,1,16,2,male
794 ms,794,9500 KB,9500,India,Asia,55,255,268.9081138,1474.246727,24.58823529,36249.1254,62,47,42,15,5,14,2,male
4679 ms,4679,9800 KB,9800,Ukraine,Europe,61,304,301.0709438,1802.944151,38.30357143,69059.20005,60,52,49,8,3,16,2,male
717 ms,717,11700 KB,11700,Bangladesh,Asia,66,312,334.5126491,1885.850965,46.94444444,88530.22587,48,42,41,6,1,17,2,male
498 ms,498,9400 KB,9400,Russia,AsiaEurope,69,277,352.582306,1692.061275,33.91666667,57389.07823,35,32,32,3,0,11,1,male
1762 ms,1762,9400 KB,9400,Brazil,South America,62,292,307.2067179,1738.625323,44.8,77890.41445,46,26,17,20,9,8,2,male
701 ms,701,14100 KB,14100,China,Asia,81,366,435.1207824,2320.385101,34.93877551,81071.41414,30,25,25,5,0,15,3,male
514 ms,514,24500 KB,24500,China,Asia,73,460,379.1044231,2847.319297,69.74358974,198582.2689,35,29,29,6,0,21,1,female
2090 ms,2090,23500 KB,23500,China,Asia,71,315,366.1306865,1937.170343,62.15625,120407.2441,54,41,34,13,7,13,2,male
795 ms,795,11800 KB,11800,China,Asia,72,360,372.2746801,2221.173001,49.68571429,110360.5671,52,43,40,9,3,19,2,male
576 ms,576,11800 KB,11800,China,Asia,78,372,412.2983693,2338.169625,65.075,152156.3884,41,30,26,11,4,15,2,male
904 ms,904,29400 KB,29400,India,Asia,72,301,372.3949821,1857.147425,28.18421053,52342.23402,35,25,25,10,0,9,1,male
1730 ms,1730,100 KB,100,Taiwan,Asia,39,232,184.5833771,1226.213315,17,20845.62635,41,19,16,22,3,4,1,male
857 ms,857,9500 KB,9500,China,Asia,66,304,333.6312234,1837.495812,58.05172414,106669.8,63,57,56,6,1,14,2,male
4601 ms,4601,12300 KB,12300,United States,North America,63,263,313.8551855,1572.02462,26.86764706,42236.60265,39,29,27,10,2,10,1,male
795 ms,795,10600 KB,10600,China,Asia,70,303,359.0498112,1857.172754,39,72429.73741,43,35,35,8,0,14,2,male
779 ms,779,15400 KB,15400,South Korea,Asia,77,339,405.551932,2124.440637,37.02564103,78658.77642,46,38,34,8,4,16,2,male
701 ms,701,10600 KB,10600,China,Asia,85,357,460.8279746,2288.152564,48.94791667,112000.301,39,31,29,8,2,14,2,male
592 ms,592,9400 KB,9400,China,Asia,67,347,339.4387425,2104.932949,39.66666667,83495.67365,49,41,41,8,0,16,2,male
764 ms,764,9500 KB,9500,Norway,Europe,57,289,276.504106,1685.705214,62.5625,105461.9325,42,35,33,7,2,12,1,male
